model,rmse,mae,mape
Linear Regression,1488.3243717166085,1215.6200269279154,12.582580171039226
Prophet,1631.4674651221153,1119.704819257348,11.560683436648201
Seasonal Naive (7d),1831.0183869457273,1418.2,14.35091373273782
Mean Baseline,2072.4035196759123,1610.6073791213216,15.72675323506451
"ARIMA(1,1,1)",2319.412844025232,2091.6650536545635,22.524869735540335
Last Value,4967.694190131541,4520.833333333333,51.25113008345924
